INFO:root:Logging Session Started at 2022-05-08 15-34-59
INFO:root:Destination directory file indexed --> 75 files present
INFO:root:Looking for 2022-04-26 13-58-53.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\76\
INFO:root:Looking for 2022-04-25 16-48-09.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\39\
INFO:root:Looking for 2022-04-26 13-27-43.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\39\
INFO:root:Looking for 2022-04-26 13-27-26.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\39\
INFO:root:Looking for 2022-04-25 17-21-33.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\39\
INFO:root:Looking for 2022-04-25 16-45-57.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\35\
INFO:root:Looking for 2022-04-26 13-25-33.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\35\
INFO:root:Looking for 2022-04-25 17-15-00.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\35\
INFO:root:Looking for 2022-04-22 12-31-40.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\14\
INFO:root:Looking for 2022-04-26 13-08-26.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\14\
INFO:root:Looking for 2022-04-21 17-36-47.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\14\
INFO:root:Looking for 2022-04-25 13-58-12.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\14\
INFO:root:Looking for 2022-04-23 12-14-22.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\14\
INFO:root:Looking for 2022-04-25 14-08-16.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\14\
INFO:root:Looking for 2022-04-25 17-09-22.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\56\
INFO:root:Looking for 2022-04-26 13-49-41.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\56\
INFO:root:Looking for 2022-04-26 13-50-25.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\56\
INFO:root:Looking for 2022-04-26 14-03-02.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\86\
INFO:root:Looking for 2022-04-27 12-42-41.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\135\
INFO:root:Looking for 2022-04-27 12-42-56.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\135\
INFO:root:Looking for 2022-04-25 16-34-48.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\30\
INFO:root:Looking for 2022-04-25 15-03-18.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\30\
INFO:root:Looking for 2022-04-23 13-09-12.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\30\
INFO:root:Looking for 2022-04-25 16-33-53.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\30\
INFO:root:Looking for 2022-04-26 13-22-34.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\30\
INFO:root:Looking for 2022-04-25 15-03-24.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\30\
INFO:root:Looking for 2022-04-26 13-21-59.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\30\
INFO:root:Looking for 2022-04-27 12-38-34.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\128\
INFO:root:Looking for 2022-04-27 12-37-13.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\128\
INFO:root:Looking for 2022-04-25 13-49-53.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\12\
INFO:root:Looking for 2022-04-25 14-07-32.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\12\
INFO:root:Looking for 2022-04-23 12-05-10.mp4 in C:\Users\togru\ml-playground\SLR\Data\Video\Cam1\12\
